Celsius; Kelvin; Fahrenheit
94.0; 367.15; 201.2
94.25; 367.4; 201.65
94.5; 367.65; 202.1
94.75; 367.9; 202.55
95.0; 368.15; 203.0
95.25; 368.4; 203.45
95.5; 368.65; 203.9
95.75; 368.9; 204.35
96.0; 369.15; 204.8
96.25; 369.4; 205.25
96.5; 369.65; 205.7
96.75; 369.9; 206.15
97.0; 370.15; 206.6
97.25; 370.4; 207.05
97.5; 370.65; 207.5
97.75; 370.9; 207.95
98.0; 371.15; 208.4
98.25; 371.4; 208.85
98.5; 371.65; 209.3
98.75; 371.9; 209.75
99.0; 372.15; 210.2
99.25; 372.4; 210.65
99.5; 372.65; 211.1
99.75; 372.9; 211.55
100.0; 373.15; 212.0
